YEAR,MONTH,STORE,DAYPART,CATEGORY_ID,REVENUE_NET,QTY
2019,6,3,D,15,1600,470
2019,6,3,L,15,4600,1400
2018,1,4,B,15,3400,1290
2018,1,4,D,15,900,360
2018,1,4,L,15,3700,1380
2018,2,4,B,15,3500,1340
2018,2,4,D,15,900,340
2018,2,4,L,15,3600,1300
2018,3,4,B,15,4200,1580
2018,3,4,D,15,900,330
2018,3,4,L,15,3500,1280
2018,4,4,B,15,4000,1440
2018,4,4,D,15,900,290
2018,4,4,L,15,4100,1440
2018,5,4,B,15,4200,1540
2018,5,4,D,15,800,260
2018,5,4,L,15,3800,1380
2018,6,4,B,15,3900,1450
2018,6,4,D,15,700,260
2018,6,4,L,15,3500,1250
2018,7,4,B,15,4200,1530
2018,7,4,D,15,800,270
2018,7,4,L,15,3900,1380
2018,8,4,B,15,4000,1400
2018,8,4,D,15,700,270
2018,8,4,L,15,3400,1180
2018,9,4,B,15,4100,1510
2018,9,4,D,15,700,230
2018,9,4,L,15,3700,1320
2018,10,4,B,15,3900,1420
2018,10,4,D,15,700,240
2018,10,4,L,15,3500,1270
2018,11,4,B,15,4100,1460
2018,11,4,D,15,700,250
2018,11,4,L,15,3000,1070
2018,12,4,B,15,4200,1480
2018,12,4,D,15,600,220
2018,12,4,L,15,3900,1400
2019,1,4,B,15,4000,1340
2019,1,4,D,15,900,290
2019,1,4,L,15,4700,1510
2019,2,4,B,15,4200,1410
2019,2,4,D,15,1200,360
2019,2,4,L,15,4600,1470
2019,3,4,B,15,4900,1680
2019,3,4,D,15,1100,330
2019,3,4,L,15,4500,1480
2019,4,4,B,15,5100,1700
2019,4,4,D,15,800,270
2019,4,4,L,15,4400,1420
2019,5,4,B,15,4500,1490
2019,5,4,D,15,700,230
2019,5,4,L,15,3600,1210
2019,6,4,B,15,4100,1340
2019,6,4,D,15,800,250
2019,6,4,L,15,3600,1170
2018,1,5,B,15,7900,3050
2018,1,5,D,15,2100,740
2018,1,5,L,15,4800,1680
2018,2,5,B,15,7800,2990
2018,2,5,D,15,2000,680
2018,2,5,L,15,4800,1720
2018,3,5,B,15,8800,3340
2018,3,5,D,15,2100,710
2018,3,5,L,15,4900,1730
2018,4,5,B,15,8500,3250
2018,4,5,D,15,2200,730
2018,4,5,L,15,5100,1810
2018,5,5,B,15,8600,3230
2018,5,5,D,15,1800,620
2018,5,5,L,15,4900,1710
2018,6,5,B,15,8400,3210
